soil_type,ph,ec,oc,av_p,av_k,av_s,av_zn,av_b,av_fe,av_cu,av_mn
Red,6.7,0.12,0.28,9.7,95,41,0.39,1.104,5.955,0.353,5.069
Red,6.7,0.05,0.27,5.8,88,44,0.37,1.752,14.76,0.706,7.793
Red,6.5,0.04,0.62,5.3,86,34,0.4,0.96,15.47,0.618,7.483
Black,8.2,0.13,0.64,15.1,103,45,0.52,1.296,4.919,1.258,2.207
Black,8.4,0.08,0.27,18.9,128,47,0.55,1.416,6.667,1.435,2.138
Black,8.9,0.29,0.38,12.1,130,42,0.46,1.968,5.825,1.898,2.552
Black,8.6,0.17,0.57,17,180,30,0.66,1.56,3.948,1.611,2.966
Black,8.2,0.13,0.3,11.2,181,37,0.48,1.056,3.43,0.861,2.241
Black,8.8,0.22,0.18,14.1,68,34,0.45,0.84,5.631,0.64,1.724
Black,9.3,0.35,0.22,20.4,130,48,0.43,1.008,3.56,0.839,2.276
Black,8.8,0.2,0.22,14.6,83,49,0.43,1.656,2.278,0.728,2.724
Red,8.7,0.25,0.22,12.1,83,29,0.56,2.016,4.148,1.192,2.345
Black,8.8,0.13,0.39,14.1,76,32,0.47,1.608,6.796,1.678,2.517
Red,8.6,0.1,0.37,35.9,112,58,0.44,0.984,7.314,1.28,2.414
Red,8.3,0.07,0.26,21.9,175,39,0.47,1.152,3.366,0.949,2.117
Black,8.8,0.07,0.2,10.7,168,39,0.37,1.032,4.725,1.038,2.345
Black,8.3,0.45,0.39,30.6,239,29,0.75,1.368,4.919,1.81,2.138
Red,8.6,0.18,0.26,14.1,175,30,0.5,1.008,3.301,0.618,4.103
Red,8.2,0.07,0.33,64.6,282,29,0.41,0.696,5.761,0.486,4.379
Black,8,0.14,0.51,52,81,35,0.47,1.224,4.272,0.408,2.517
Red,7.9,0.11,0.42,47.6,59,39,0.52,1.56,5.761,1.236,2.655
Black,8.6,0.11,0.37,12.6,196,66,0.6,1.2,3.43,0.662,3.552
Sandy,8.2,0.08,0.18,21.9,70,70,0.45,2.112,3.689,0.684,3.931
Black,7.8,0.21,0.58,9.7,85,12,0.92,1.56,3.74,1.619,1.981
Black,7.8,0.22,0.49,13.1,80,19,0.37,2.04,3.453,5.94,2.39
Black,8.9,0.18,0.85,12.1,72,11,0.74,0.528,3.359,1.826,2.944
Black,7.6,0.11,0.34,17,113,21,0.35,0.384,3.359,6.593,9.91
Black,8.7,0.14,0.8,27.2,64,8,0.37,1.704,3.511,0.997,6.204
Black,8.3,0.07,1,10.2,80,14,0.37,0.816,3.053,0.842,1.833
Black,8.4,0.11,0.74,18,246,23,0.34,0.816,3.053,6.438,46.24
Red,7.9,0.57,0.67,24.8,71,27,0.46,0.744,2.977,5.712,36.43
Red,7.8,0.91,0.55,24.8,75,20,0.27,0.768,3.588,5.609,45.65
Red,8.3,0.25,1.31,12.6,76,32,0.57,0.816,2.882,2.63,12.35
Red,7.5,0.07,0.44,15.1,45,21,0.39,1.2,3.893,5.687,48.86
Red,9.1,0.13,1.31,12.6,83,15,0.5,1.056,3.664,1.127,11.61
Red,7.6,0.06,0.46,13.1,44,12,0.45,0.216,4.122,0.738,6.833
Red,8.1,0.07,0.94,11.2,79,17,0.38,0.792,3.511,2.293,4.574
Red,7.6,1.43,0.75,27.7,84,25,0.21,0.984,3.664,4.909,23.2
Red,7.7,1.88,0.69,23.8,81,33,0.72,1.272,3.544,4.547,18.94
Red,7.8,1.82,0.79,25.2,81,9,0.45,1.32,3.664,2.008,7.981
Red,6.9,0.24,0.55,8.7,73,22,0.3,0.84,3.664,4.754,31.43
Red,6.7,0.13,0.59,8.3,69,34,0.37,1.872,3.359,2.06,8.056
Red,6.6,0.1,0.57,7.8,79,12,0.44,1.824,3.359,1.645,4.981
Sandy,6.9,0.18,0.8,53.4,193,45,1.31,0.984,15.27,0.149,3.683
Sandy,6.8,0.19,0.84,60.7,277,25,1.3,0.936,14.46,0.149,3.565
Sandy,6.3,0.05,0.59,26.7,45,16,0.67,1.536,25.95,0.312,3.654
Sandy,5.9,0.05,0.48,18,41,23,0.53,1.224,28.65,0.217,4.837
Sandy,5.7,0.05,0.65,24.8,52,18,0.43,0.6,26.42,0.372,4.068
Sandy,5.7,0.05,0.68,37.4,47,14,0.55,0.648,28.11,0.261,4.926
Sandy,5.7,0.05,0.04,10.2,40,17,0.82,0.672,23.31,0.221,4.038
Sandy,5.9,0.06,0.05,46.1,56,35,0.26,0.144,18.72,0.231,6.139
Red,5.9,0.06,0.05,26.2,61,35,0.25,0.576,16.55,0.242,6.612
Sandy,5.9,0.06,0.45,48.6,63,32,0.19,1.848,16.35,0.261,6.524
Sandy,5.9,0.05,0.38,25.2,63,89,0.23,0.888,19.39,0.227,6.672
Red,5.2,0.03,0.48,53.4,31,23,0.3,0.936,35.41,0.231,2.204
Red,4.9,0.03,0.55,40.3,35,32,0.31,0.744,36.82,0.223,2.413
Sandy,5,0.02,0.75,37.9,28,30,0.3,2.016,38.42,0.321,2.287
Sandy,6.9,0.18,0.79,44.7,206,31,0.54,1.056,1.613,0.171,1.287
Sandy,8.2,0.18,0.64,17,237,33,0.52,2.136,1.385,0.149,1.287
Red,8.6,0.18,0.46,14.6,177,32,0.52,0.984,1.775,0.128,1.139
Sandy,7.1,0.07,0.35,22.3,42,30,0.68,1.248,22.76,0.267,2.444
Sandy,6.5,0.06,0.39,58.8,44,24,0.72,0.456,21.08,0.251,2.204
Red,6.3,0.06,0.49,56.8,43,30,0.69,1.896,21.01,0.246,1.908
Red,6.7,0.14,0.19,21.4,66,13,0.18,0.048,11.6,0.149,3.973
Red,6.7,0.15,0.21,28.6,70,18,0.25,0.24,11.34,0.277,4.068
Red,6.6,0.13,0.21,24.8,65,20,0.21,0.312,19.41,0.236,11.88
Red,6.7,0.14,0.19,27.2,134,16,0.2,0.048,21.01,0.215,10.4
Red,6.6,0.25,0.37,25.7,138,17,0.19,0.072,6.306,0.235,4.068
Red,6.8,0.21,0.2,27.7,126,22,0.19,0.072,5.546,0.277,4.719
Red,6.9,0.21,0.3,29.6,110,13,0.27,0.312,2.773,0.064,1.3
Sandy,6.9,0.21,0.37,27.2,53,14,0.16,0.6,2.269,0.049,1.2
Red,7,0.26,0.27,30.6,65,15,0.18,0.024,2.017,0.122,1.435
Red,6.8,0.07,0.23,26.2,70,31,0.13,0.648,11.93,0.048,7.145
Red,6.5,0.07,0.16,8.7,41,6,0.24,0.048,18.32,0.018,10.61
Red,6.4,0.06,0.01,11.7,35,11,0.21,0.048,10.34,0.089,6.257
Sandy,6.4,0.21,0.12,12.6,43,3,0.2,0.048,9.076,0.277,3.003
Red,6.7,0.11,0.36,26.7,132,6,0.15,0.264,2.689,0.211,0.942
Sandy,6.9,0.13,0.24,22.8,118,5,0.22,0.048,2.158,0.123,0.962
Sandy,6.9,0.32,0.21,22.8,125,6,0.2,0.768,6.864,0.253,3.151
Red,6.6,0.31,0.24,18.9,62,12,0.23,0.744,8.067,0.119,3.003
Red,6.6,0.29,0.2,8.3,63,19,0.18,0.696,16.3,0.193,5.459
Red,6.6,0.31,0.26,12.6,57,14,0.25,0.216,17.39,0.254,6.05
Red,6.5,0.31,0.23,10.2,60,27,0.18,1.608,15.231,0.123,5.902
Sandy,6.7,0.13,0.15,20.4,44,6,0.25,0.168,9.648,0.02,7.185
Sandy,7,0.12,0.17,25.7,208,9,0.35,0.144,4.383,0.023,4.444
Sandy,7.2,0.14,0.22,18.5,215,8,0.45,0.312,3.814,0.07,4.333
Sandy,7.8,0.06,0.28,7.8,77,11,0.46,1.248,5.052,0.264,2.852
Red,7.7,0.07,0.22,22.3,46,7,0.51,1.584,6.082,0.023,2.741
Sandy,7.4,0.07,0.15,17.5,44,14,0.53,0.456,5.052,0.223,3.074
Red,7.8,0.03,0.15,15.1,47,16,0.43,0.024,7.32,0.023,3.148
Sandy,7.4,0.04,0.33,9.2,86,11,0.51,0.12,6.082,0.117,2.778
Sandy,7.2,0.03,0.38,8.7,91,9,0.44,0.072,4.845,0.21,2.593
Sandy,7.6,0.08,0.32,22.8,200,18,0.74,0.768,4.204,0.21,3.963
Sandy,7.7,0.1,0.4,41.8,222,10,0.62,2.064,14.74,0.164,5.444
Sandy,6.9,0.08,0.25,14.6,191,10,0.66,0.168,7.526,0.12,4.852
Sandy,6.5,0.04,0.33,10.2,168,16,0.35,0.168,8.696,0.123,5.148
Sandy,7.7,0.04,0.32,19.4,77,18,0.34,1.752,4.845,0.12,4.963
Sandy,7.7,0.06,0.4,7.3,78,16,0.36,0.072,10.82,0.211,2.963
Sandy,6.7,0.05,0.4,13.1,82,15,0.47,0.504,4.916,0.217,5.63
Sandy,6.7,0.06,0.41,15.5,108,19,0.43,0.096,16.19,0.258,5.112
Sandy,6.6,0.06,0.27,33.5,225,16,0.4,1.056,8.969,0.211,8.963
Sandy,6.4,0.05,0.39,15.1,137,9,0.41,0.144,6.495,0.023,7.889
Sandy,6.7,0.04,0.43,26.2,156,9,0.48,1.776,4.227,0.023,5.778
Black,8.4,0.15,0.31,27.2,190,12,0.26,0.912,3.175,0.787,2.921
Black,8.6,0.15,0.55,16.5,208,9,0.13,0.912,3.81,0.981,2.939
Sandy,8.5,0.09,0.3,41.3,203,18,0.24,0.168,4.127,0.666,2.519
Sandy,8.3,0.05,0.18,20.9,57,16,0.17,0.36,4.444,0.327,3.084
Sandy,7.9,0.08,0.12,40.8,85,24,0.13,0.768,3.556,0.375,3.224
Sandy,7.2,0.06,0.26,20.4,73,9,0.14,0.36,6.032,0.4,3.621
Sandy,7,0.06,0.23,16.5,75,7,0.11,0.456,7.429,0.375,2.687
Sandy,7,0.04,0.34,15.1,78,8,0.11,1.152,7.492,0.351,3.925
Sandy,7.9,0.06,0.14,12.6,49,14,0.15,1.368,3.746,0.221,4.089
Sandy,7.2,0.07,0.2,18,82,7,0.14,0.168,6.222,0.278,3.972
Black,7.1,0.08,0.26,27.7,110,13,0.12,0.168,6.222,0.327,6.425
Red,7.1,0.08,0.3,18.5,104,16,0.06,0.168,5.079,0.206,5.794
Black,7.1,0.06,0.33,23.8,95,11,0.13,0.168,5.778,0.351,6.939
Sandy,7.1,0.07,0.28,36.4,52,8,0.11,0.744,5.016,0.21,11.29
Sandy,6.9,0.05,0.43,23.3,78,14,0.1,0.336,8.127,0.4,3.808
Sandy,8,0.05,0.14,15.1,50,20,0.13,0.36,4.254,0.301,3.154
Red,7.8,0.05,0.31,13.6,44,22,0.08,0.312,3.365,0.269,3.294
Black,6.7,0.05,0.32,19.4,95,9,0.14,0.528,5.587,0.29,9.883
Sandy,6.8,0.09,0.15,23.3,75,9,0.17,0.312,5.651,0.27,10.35
Sandy,6.7,0.07,0.11,31.6,99,10,0.07,0.36,5.651,0.214,9.65
Black,8.1,0.16,0.35,23.3,285,16,0.25,1.752,2.811,0.864,2.701
Black,8.2,0.15,0.3,22.3,140,30,0.19,0.456,1.946,0.736,2.18
Black,8.5,0.08,0.19,27.2,174,18,0.13,0.768,0.649,0.16,2.479
Red,8.5,0.13,0.28,23.3,148,31,0.15,0.936,2.378,0.736,2.096
Red,8.5,0.08,0.18,31.1,166,17,0.19,0.288,0.973,0.352,2.595
Black,8.4,0.47,0.43,32,168,150,0.29,1.056,2.919,1.119,4.186
Red,8.3,0.15,0.26,23.3,51,13,0.24,1.488,1.081,0.416,2.699
Red,6.9,0.12,0.4,56.3,99,19,0.26,0.384,2.811,0.394,2.516
Red,5.8,0.07,0.39,19.4,62,10,0.23,0.024,7.027,0.672,21.05
Red,7.5,0.24,0.34,15.1,301,20,0.06,0.528,2.378,0.906,2.576
Black,8.1,0.14,0.35,29.6,177,6,0.22,0.672,1.291,0.565,2.846
Red,7.5,0.11,0.33,27.2,114,15,0.32,5.424,3.784,0.373,3.351
Red,7.2,0.12,0.44,19.4,112,12,0.5,1.752,4.432,1.119,4.061
Red,5.8,0.08,0.39,52.4,62,12,0.29,1.008,6.963,0.16,20.66
Red,7.8,0.19,0.36,35.9,241,16,0.1,0.528,2.199,0.885,2.43
Black,8.6,0.15,0.2,14.6,168,21,0.27,3.12,1.569,0.608,2.871
Red,8.3,0.18,0.3,12.1,275,13,0.26,1.584,2.054,0.928,2.597
Black,8.3,0.09,0.24,37.4,98,31,0.05,0.6,1.514,0.522,2.033
Red,7.3,0.11,0.32,42.7,101,31,0.09,0.144,2.162,0.501,3.058
Red,7.9,0.19,0.32,15.5,262,132,0.02,0.672,1.838,0.416,2.409
Red,7.7,0.1,1.03,10.2,203,43,0.31,1.608,6.787,0.897,7.813
Red,7.9,0.09,0.88,8.7,164,28,0.22,2.04,8.416,0.21,7.423
Red,8,0.07,0.96,5.8,87,38,0.23,1.776,10.41,0.286,8.869
Red,8.1,0.06,1.01,3.9,185,33,0.24,1.536,10.59,0.286,7.033
Red,8,0.06,1.16,3.4,147,50,0.23,1.512,8.869,0.109,5.808
Red,7.7,0.07,0.73,2.9,164,36,0.19,1.2,8.507,0.286,4.554
Red,7.2,0.04,0.74,5.8,158,38,0.27,1.32,11.49,0.399,6.281
Black,7,0.04,1.07,7.8,167,39,0.26,2.28,10.59,0.213,6.226
Sandy,7.3,0.11,1.11,10.2,177,30,0.24,1.584,9.774,0.312,5.279
Sandy,7.5,0.12,1.21,7.3,75,51,0.27,1.416,10.68,0.484,5.808
Red,7.6,0.09,1.17,11.2,39,32,0.32,1.896,9.955,0.821,7.451
Red,7.4,0.09,1.21,6.8,82,36,0.4,1.848,6.787,1.05,7.953
Black,7.5,0.08,0.95,4.9,144,39,0.38,1.752,8.507,1.279,11.57
Black,7.4,0.21,0.95,1.9,68,30,0.37,1.272,8.235,0.935,11.41
Sandy,8,0.13,0.8,6.8,72,34,0.32,1.536,9.864,1.011,10.4
Sandy,7.3,0.4,0.94,7.8,82,25,0.29,1.56,9.412,0.875,7.479
Red,7.6,0.14,1.02,3.4,84,32,0.35,1.752,8.597,0.592,4.694
Red,7.6,0.11,1.07,1.9,94,33,0.31,1.632,6.968,0.935,6.699
Red,7.5,0.07,1.04,4.4,42,37,0.3,1.632,7.692,1.508,13.38
Red,7.4,0.08,1,5.3,56,25,0.32,1.56,7.783,1.851,13.25
Red,8.4,0.11,0.32,8.3,148,15,0.29,0.432,3.511,1.619,3.722
Red,8.5,0.1,0.32,5.8,161,12,0.49,0.408,3.511,2.26,6.893
Red,8,0.08,0.41,8.7,78,10,0.61,0.192,4.275,0.531,10.72
Red,7.6,0.16,0.73,7.8,153,11,0.66,0.696,5.496,2.422,12.5
Red,7.4,0.12,0.48,7.3,98,18,0.61,0.84,1.864,2.163,12.45
Black,7.5,0.34,0.82,18.5,113,18,1.2,0.432,5.115,3.459,13.31
Black,7.3,0.09,0.62,2.9,123,16,1.1,0.048,7.252,3.389,18.94
Black,7.2,0.11,0.41,3.9,94,14,0.82,0.792,5.191,3.562,12.94
Black,7.2,0.1,0.59,4.4,105,13,0.64,2.544,6.794,4.028,20.98
Red,7.1,0.09,0.48,5.3,120,11,0.68,0.6,6.336,3.251,16.09
Sandy,7.1,0.06,0.47,7.8,85,17,0.87,0.048,7.328,3.199,16.2
Sandy,7,0.07,0.44,11.7,105,10,0.75,0.072,6.107,2.759,14.28
Sandy,6.9,0.05,0.4,6.8,144,10,0.77,0.072,6.336,2.966,14.76
Black,7.1,0.13,0.9,8.3,140,9,0.7,0.048,5.573,2.966,22.17
Black,7,0.12,0.93,18.9,163,9,0.81,0.624,8.092,3.459,19.43
Black,7.1,0.13,0.63,15.5,169,7,0.66,0.504,6.107,2.63,14.57
Sandy,7.1,0.13,0.57,10.7,153,9,0.66,0.504,7.742,3.64,18.94
Sandy,7.1,0.09,0.51,6.8,154,10,0.55,0.48,6.107,2.94,13.39
Sandy,7.2,0.07,0.43,8.3,57,7,0.74,0.072,7.099,3.251,17.49
Sandy,6.9,0.12,0.64,12.6,66,10,1.19,0.024,9.008,4.469,21.02
Sandy,5.2,0.05,0.06,19.4,41,17,0.84,0.864,8.908,0.171,5.781
Red,5.2,0.05,0.08,14.6,48,17,0.15,0.168,12.35,0.01,5.695
Red,5.2,0.04,0.17,25.2,41,25,0.14,2.04,12.52,0.085,5.932
Red,6.5,0.05,0.09,20.9,64,23,0.08,3.744,12.02,0.021,5.695
Red,7.3,0.05,0.21,16,75,11,0.13,1.368,15.97,0.043,13.68
Sandy,7.3,0.05,0.22,15.5,61,21,0.11,1.488,11.51,0.08,11.88
Red,7.1,0.04,0.25,19.4,56,13,0.11,0.792,11.85,0.09,11.29
Red,7,0.04,0.22,15.1,60,16,0.04,0.264,10.08,0.12,5.488
Red,5.5,0.07,0.51,50.5,67,31,0.28,0.384,11.18,0.23,5.311
Black,5.3,0.07,0.89,43.7,71,27,0.07,0.576,11.43,0.12,5.284
Sandy,6.5,0.04,0.41,39.3,72,20,0.11,0.336,12.18,0.23,4.038
Sandy,6.7,0.05,0.24,27.2,65,19,0.13,1.128,14.71,0.149,4.364
Red,5.6,0.04,0.3,22.3,37,10,0.17,0.576,6.303,0.23,1.464
Red,5.2,0.03,0.32,18.9,39,13,0.2,0.144,6.387,0.21,1.524
Red,6.1,0.05,0.35,15.1,41,16,0.13,1.128,17.48,0.19,4.985
Red,6.2,0.05,0.29,22.8,35,21,0.13,0.672,19.41,0.16,5.547
Red,7.5,0.06,0.36,5.8,224,28,0.11,0.192,21.01,0.19,5.754
Red,7.9,0.08,0.36,8.3,50,38,0.13,0.312,9.412,0.14,2.086
Sandy,7.9,0.08,0.14,8.7,53,17,0.21,0.264,8.487,0.21,1.938
Sandy,6.3,0.03,0.39,25.2,41,14,0.22,0.696,7.899,0.19,1.849
Black,8.4,0.21,0.53,16,287,33,0.78,0.888,6.907,0.54,12.37
Black,8.4,0.18,0.52,13.1,268,40,0.53,0.408,4.845,0.211,9.963
Black,8.5,0.13,0.55,5.3,188,21,0.53,0.384,5.67,0.22,5.704
Black,8.6,0.1,0.86,9.2,215,25,0.44,0.168,5.67,0.023,5.63
Black,8.5,0.15,0.31,10.2,148,42,0.4,0.048,4.845,0.023,2.778
Black,8.5,0.18,0.35,36.9,120,13,0.36,0.336,3.392,0.021,1.745
Black,8.3,0.39,1.06,18.9,164,34,0.55,0.36,8.557,0.264,2.259
Black,8.3,0.39,1.16,20.4,192,62,0.47,0.12,3.535,0.217,2.519
Black,8.6,0.16,1.3,15.5,263,13,0.33,0.048,4.227,0.17,2.407
Black,8.8,0.25,1.06,13.6,191,5,0.54,0.624,41.13,0.023,3.148
Black,8.4,0.3,1.02,5.3,94,25,0.57,0.984,4.639,0.023,3.593
Black,8.3,0.11,1.29,29.1,177,38,0.6,1.104,5.052,0.023,3.444
Red,8.8,0.25,1.32,34.5,269,44,0.54,0.168,4.639,0.022,3
Black,8.7,0.21,0.31,27.2,158,6,0.48,0.768,50.21,0.221,3.148
Black,8.6,0.19,0.22,35.4,155,5,0.59,0.384,35.36,0.21,3.185
Black,8.6,0.19,0.27,28.6,146,4,0.59,0.192,3.814,0.12,4.37
Black,8.9,0.24,1.36,29.1,284,24,0.48,0.768,4.844,0.223,8.852
Black,8.9,0.25,1.02,29.1,285,36,0.47,1.296,5.052,0.023,8.667
Sandy,6.9,0.09,0.33,24.8,45,39,0.49,0.36,6.495,0.021,9.296
Red,7,0.16,0.31,28.6,46,39,0.54,0.168,13.71,0.021,14.07
Red,8.3,0.09,0.31,19.4,154,5,0.48,0.072,1.337,0.346,2.153
Red,7.6,0.11,0.26,27.2,124,38,0.42,0.48,2.62,0.392,3.738
Red,7.5,0.11,0.31,24.3,114,68,0.35,2.304,5.936,0.53,13.77
Red,7.1,0.1,0.27,16,62,42,0.31,0.168,4.866,0.253,12.79
Sandy,6.8,0.07,0.31,35.9,61,50,0.54,0.096,2.834,0.209,3.246
Sandy,7.8,0.09,0.37,19.4,133,6,0.47,0.024,1.123,0.261,2.345
Sandy,8.1,0.07,0.38,21.4,137,5,0.31,0.168,1.872,0.253,5.508
Black,7.6,0.09,0.25,12.6,62,49,0.3,3.432,2.834,0.3,5.18
Sandy,7.4,0.08,0.29,27.2,69,58,0.4,0.192,2.299,0.576,4.098
Sandy,7.4,0.06,0.27,12.1,67,47,0.37,0.216,1.337,0.203,3.705
Red,7.7,0.12,0.32,33,135,72,0.32,0.096,1.444,0.484,2.82
Red,7.8,0.12,0.47,19.9,141,63,0.29,0.144,1.123,0.261,2.756
Red,7.6,0.11,0.31,15.1,202,29,0.24,0.24,1.337,0.209,2.738
Red,7.8,0.09,0.33,11.2,215,18,0.31,0.888,1.444,0.438,2.705
Red,7.9,0.1,0.25,24.3,138,31,0.35,0.12,3.476,0.392,6.59
Red,7.5,0.11,0.28,13.6,67,50,0.28,0.072,3.69,0.22,6.23
Red,7.7,0.08,0.26,36.9,56,45,0.26,0.456,7.112,0.22,8.033
Red,6.9,0.06,0.23,28.2,50,51,0.29,0.192,6.471,0.203,11.15
Sandy,6.6,0.09,0.31,18.5,49,54,0.32,0.264,6.15,0.203,11.67
Red,6.7,0.07,0.22,22.3,51,59,0.29,0.312,3.369,0.204,7.639
Sandy,7.9,0.05,0.04,14.1,39,6,0.24,1.2,2.088,0.466,3.203
Sandy,7.9,0.04,0.07,14.1,33,9,0.21,0.96,14.51,0.512,3.307
Sandy,7.3,0.04,0.1,15.1,35,9,0.3,0.72,14.62,0.466,3.36
Sandy,9.7,0.09,0.11,43.2,138,13,0.56,1.704,4.505,0.259,1.129
Sandy,7.9,0.1,0.09,38.8,114,27,0.57,1.464,3.736,0.233,1.05
Sandy,8.4,0.07,0.11,35.4,121,13,0.43,1.728,3.846,0.259,0.919
Sandy,8.4,0.1,0.21,37.4,125,14,0.51,1.536,3.846,0.259,0.971
Sandy,8.1,0.06,0.04,18.5,110,6,0.11,1.944,7.582,0.321,3.622
Sandy,7.6,0.06,0.04,15.1,44,5,0.2,1.776,7.912,0.026,3.438
Sandy,7.5,0.05,0.05,10.7,47,8,0.21,1.512,7.912,0.104,2.992
Sandy,7.5,0.1,0.09,19.4,68,7,0.11,1.704,4.505,0.274,1.785
Sandy,9.1,0.09,0.06,18,66,8,0.84,1.104,5.165,0.334,2.1
Sandy,9.8,0.1,0.01,37.9,3,20,0.35,2.136,3.297,0.211,2.38
Sandy,9.7,0.09,0.01,14.1,4,11,0.1,1.464,3.187,0.146,2.335
Sandy,9.3,0.13,0.01,9.7,5,12,0.28,1.176,3.297,0.207,1.785
Sandy,9.3,0.15,0.16,10.2,32,11,0.25,1.512,3.626,0.207,1.365
Sandy,8.7,0.05,0.13,10.7,21,10,0.28,1.464,6.264,0.415,2.178
Sandy,8.2,0.05,0.1,14.6,28,11,0.19,1.68,6.154,0.154,2.546
Sandy,8.4,0.05,0.07,11.7,22,11,0.18,1.44,6.374,0.149,2.703
Sandy,8.2,0.05,0.13,13.6,31,9,0.1,1.488,6.703,0.136,2.913
Red,8.5,0.1,0.33,23.8,91,3,0.63,0.072,2.18,0.484,1.964
Red,6.9,0.05,0.41,32.5,41,4,0.6,3.648,13.04,0.291,4.314
Red,7.9,0.17,0.35,42.2,218,4,0.53,0.312,3.189,0.236,2.321
Red,7.3,0.09,0.32,38.4,75,6,0.5,0.144,4.81,0.281,2.152
Sandy,8,0.18,1.81,26.7,173,7,0.53,0.048,2.526,0.212,1.964
Sandy,8.1,0.93,0.44,17,175,7,0.55,0.384,2.872,0.66,1.156
Red,8.2,0.58,0.43,31.6,159,27,0.6,0.576,1.813,0.472,1.231
Red,8.3,0.17,0.34,28.6,73,17,0.51,0.744,2.734,0.346,1.043
Red,7.5,0.17,0.66,28.2,169,20,0.67,0.456,3.023,0.202,2.284
Red,7.2,0.1,0.46,41.8,60,10,0.63,0.24,6.457,0.22,3.769
Red,8.5,0.21,0.47,18.9,58,14,0.65,0.504,2.872,0.66,1.381
Red,6.6,0.04,0.23,16,18,12,0.68,0.576,7.093,0.435,7.096
Red,7.5,0.28,0.38,24.3,79,8,0.61,0.12,3.91,0.605,2.66
Red,7.4,0.08,0.43,17,34,32,0.61,0.552,5.848,0.254,2.359
Red,6,0.08,0.35,15.5,39,17,0.7,0.096,8.547,0.203,4.568
Red,7.5,0.07,0.14,12.6,40,11,0.6,0.504,2.18,0.373,1.515
Red,6,0.09,0.4,18.5,48,9,0.63,0.024,8.824,0.22,17.12
Red,5.8,0.09,0.29,18.5,60,11,0.7,0.096,8.824,0.346,17.88
Red,6.6,0.13,0.66,21.4,59,4,0.63,0.624,8.408,0.264,16.55
Sandy,6.6,0.13,0.56,56.8,70,7,0.88,0.408,11.45,0.313,2.284
Sandy,7.9,0.03,0.37,11.2,35,17,0.55,1.368,4.286,0.259,0.945
Sandy,8.2,0.11,0.28,20.4,42,11,0.68,1.152,4.615,0.259,0.892
Sandy,8.3,0.11,0.18,12.1,46,13,0.52,0.936,4.615,0.233,0.971
Sandy,8,0.07,0.12,11.7,73,7,0.04,1.032,7.253,0.104,3.642
Sandy,7.8,0.06,0.01,10.7,27,11,0.07,1.08,5.824,0.078,2.388
Sandy,7.7,0.07,0.06,13.6,32,13,0.04,1.248,5.934,0.052,2.257
Sandy,7.6,0.07,0.2,11.2,35,8,0.13,0.864,10.11,0.172,2.336
Sandy,7.4,0.05,0.21,12.1,43,6,0.16,0.912,9.78,0.07,2.257
Sandy,8.4,0.07,0.11,9.7,43,8,0.19,1.008,3.242,0.229,0.971
Sandy,8.8,0.08,0.09,14.1,44,12,0.25,1.176,3.615,0.21,1.182
Sandy,8.6,0.08,0.05,48.1,45,11,0.29,1.224,4.018,0.199,1.102
Sandy,8.5,0.07,0.08,14.1,56,10,0.29,1.464,4.457,0.212,1.076
Sandy,8.7,0.07,0.06,29.6,48,9,0.14,1.176,3.639,0.13,1.008
Sandy,8.7,0.14,0.13,19.9,49,9,0.16,1.008,3.865,0.053,1.024
Sandy,7.7,0.11,0.38,17.5,64,9,0.27,0.984,16.77,0.107,6.798
Sandy,7.6,0.09,0.29,22.8,63,15,0.12,1.272,11.87,0.086,3.333
Sandy,7.8,0.08,0.12,19.9,40,9,0.18,1.464,7.692,0.074,2.047
Sandy,8,0.05,0.08,23.3,36,6,0.2,1.008,5.275,0.181,1.339
Sandy,8.3,0.06,0.01,28.2,27,10,0.53,1.032,3.626,0.155,1.155
Sandy,8.3,0.06,0.01,36.4,11,10,0.42,1.104,3.407,0.104,1.076
Black,7,0.23,0.56,3.9,37,5,0.31,0.168,21.26,0.874,6.37
Red,7.3,0.18,0.76,3.4,49,3,0.59,0.144,11.24,0.571,3.741
Red,7,0.3,0.57,6.3,40,7,0.68,0.264,47.73,1.808,15.96
Black,7.1,0.15,0.25,6.3,33,12,0.62,0.744,53.3,1.479,7.333
Red,6.9,0.23,0.39,6.8,48,7,0.66,0.072,28.76,0.54,5.963
Red,6.9,0.22,0.31,4.9,40,9,0.47,0.888,22.78,0.539,6.444
Red,6.8,0.22,0.4,5.8,40,11,0.56,0.312,21.96,0.258,5.741
Red,6.8,0.24,0.47,4.4,43,4,0.58,0.696,22.16,0.305,6.148
Black,7,0.19,0.61,7.3,48,11,0.7,0.96,15.15,0.681,4.63
Red,7.1,0.18,0.52,7.8,38,12,0.76,0.216,15.36,1.103,5.741
Black,7.1,0.19,0.4,8.3,42,6,0.41,0.072,18.04,1.338,8.519
Red,7.2,0.2,0.47,9.2,40,3,0.61,0.288,11.03,1.432,5.963
Red,7.2,0.15,0.45,7.3,54,9,0.54,0.12,8.763,1.338,5.556
Red,7.6,0.14,0.59,2.9,45,9,0.54,0.168,7.938,0.023,1.706
Sandy,7.3,0.13,0.41,8.3,43,12,0.42,0.168,9.381,2.183,11.04
Sandy,7.7,0.15,0.36,3.4,133,5,0.51,0.12,4.433,0.264,1.529
Sandy,7.3,0.18,0.38,3.4,36,10,0.47,1.344,11.87,1.244,4.593
