soil_type,ph,ec,oc,av_p,av_k,av_s,av_zn,av_b,av_fe,av_cu,av_mn
Sandy,5.2,0.1,0.62,10.2,61,13,0.45,0.84,40.99,0.712,1.667
Sandy,5.4,0.19,0.82,5.8,179,16,0.87,0.84,23.32,2.64,39.94
Sandy,5.2,0.11,0.83,16,53,13,0.45,0.42,42.76,1.047,1.62
Sandy,5.2,0.09,1.29,13.1,52,13,0.44,0.84,43.25,0.768,1.52
Sandy,5.1,0.05,1.22,16,55,13,0.58,0.72,41.63,0.601,2.492
Sandy,5.1,0.05,1.45,13.1,53,14,0.82,0.24,40.07,0.964,2.15
Silt,5.1,0.07,1.45,10.2,45,13,0.73,1.02,43.39,0.768,2.461
Silt,4.9,0.07,1.52,13.6,48,13,1.22,1.14,47.14,1.634,3.614
Silt,4.9,0.06,1.31,12.1,45,12,1.01,0.78,44.1,1.271,8.816
Silt,5.2,0.2,1.23,5.3,47,13,0.91,0.24,26.64,2.696,29.07
Red,7.1,0.11,0.37,7.4,44,57,0.59,0.78,22.93,0.97,5.602
Red,7.9,0.12,0.62,6.7,200,46,0.47,0.12,32.26,2.141,4.28
Sandy,7.9,0.14,0.66,13.3,125,62,0.49,0.18,1.51,2.162,3.605
Sandy,7.5,0.08,0.47,14.3,101,200,0.66,0.72,21.92,2.465,5.073
Red,8.1,0.12,0.67,13.6,160,221,0.91,0.48,9.122,2.465,4.442
Red,6.6,0.07,0.57,40.9,44,53,0.54,0.24,18.04,3.172,22.62
Red,6.8,0.12,0.29,13.3,47,119,0.42,0.12,6.028,1.879,6.233
Red,7.1,0.11,0.35,12.3,57,52,0.52,0.24,5.658,1.838,5.705
Red,7.3,0.11,0.59,24.9,158,99,0.86,0.12,5.381,2.283,5.206
Red,7.1,0.13,0.48,39.9,168,59,0.65,0.54,10.42,2.606,15.25
Red,6.5,0.3,0.65,38.7,201,64,1,0.12,12.77,4.182,19.85
Red,7,0.06,0.44,42.6,54,113,0.4,0.18,9.538,2.323,12.39
Red,6.9,0.05,0.44,8.6,56,21,0.47,0.3,9.861,2.667,13.16
Red,6.7,0.14,0.38,34.3,106,62,0.51,0.12,8.568,2.323,9.581
Red,6.8,0.12,0.48,32.3,115,102,0.55,0.18,8.014,2.283,8.245
Red,7,0.11,0.4,12.5,136,71,0.49,0.12,6.721,2.545,7.379
Red,8.3,0.11,0.21,15.5,118,62,0.36,0.12,14.62,0.889,1.379
Red,7.2,0.11,0.43,10.4,39,69,0.37,0.24,10.09,2.465,13.46
Red,7.2,0.12,0.53,13,78,89,0.75,0.42,7.229,2.929,9.67
Red,7,0.11,0.41,13.5,50,42,0.4,0.36,11.02,2.646,13.33
Sandy,5.1,0.14,0.66,2.4,49,4,0.77,0.66,41.68,0.525,4.494
Sandy,5.4,0.04,0.93,2.9,32,37,0.17,0.36,17.52,0.331,2.377
Sandy,5.3,0.07,0.6,2.4,39,1,0.13,0.96,12.48,0.249,1.396
Sandy,5.3,0.08,0.63,3.4,25,8,0.04,0.36,10.73,0.04,1.058
Sandy,5.6,0.11,0.6,2.9,31,7,0.76,0.18,27.15,0.414,8.543
Sandy,5.2,0.07,0.67,3.9,46,10,0.47,0.36,34.31,1.022,3.121
Sandy,4.7,0.07,1.49,2.9,28,8,0.45,0.24,38.25,1.188,3.604
Sandy,4.8,0.07,0.29,3.4,49,2,0.29,0.24,29.49,1.16,8.727
Sandy,4.8,0.08,0.7,2.9,29,6,0.3,0.36,30.22,1.243,9.647
Sandy,5.1,0.13,0.62,2.4,47,17,1.94,0.24,28.76,0.11,4.433
Sandy,5.4,0.04,1.05,1.5,27,13,0.23,0.3,20.88,0.304,5.291
Sandy,5.4,0.04,0.7,1.9,45,30,0.11,0.42,20.07,0.276,5.046
Sandy,5.7,0.05,0.68,2.4,56,8,0.16,0.24,9.635,0.801,1.488
Sandy,5.8,0.04,0.75,2.9,54,4,0.16,0.24,7.956,0.801,0.844
Sandy,5.8,0.07,0.76,2.4,116,17,0.3,0.24,35.47,0.47,3.819
Sandy,5.3,0.07,0.58,2.9,72,2,0.51,0.78,38.1,1.105,4.739
